,0,1,title
0,0,http://www.memphis.edu,
237,237,http://www.memphis.edu/nursing/news/,News  -       	The Loewenberg College of Nursing      	 - University of Memphis   
238,238,http://www.memphis.edu/nursing/about_us/coh.php,Building a Culture of Health for Urban Children and Families -       	The Loewenberg College of Nursing      	 - University of Memphis   
239,239,http://www.memphis.edu/completion/,Home -       	Completion      	 - University of Memphis   
240,240,http://www.memphis.edu/prospective/whatslocal.php,What's Local? -       	Prospective Students      	 - University of Memphis   
241,241,http://www.memphis.edu/internships/,Internships -       	Internships      	 - University of Memphis   
242,242,http://www.memphis.edu/prospective/whymemphis.php,Why Memphis? -       	Prospective Students      	 - University of Memphis   
243,243,http://www.memphis.edu/driven-by-doing/,UofM Driven by Doing -       	Driven by Doing      	 - University of Memphis   
244,244,http://www.memphis.edu/gradcatalog/about/research_facilities/excellence.php,University of Memphis - Acalog ACMSâ¢
245,245,http://www.memphis.edu/gradschool/programs/index.php,Academic Degree Programs -       	Graduate School       	 - University of Memphis   
246,246,http://www.memphis.edu/gradschool/current_students/index.php, Current Students -       	Graduate School       	 - University of Memphis   
247,247,http://www.memphis.edu/gradschool/programs,
248,248,http://www.memphis.edu/gradschool/resources/index.php,Graduate School Resources -       	Graduate School       	 - University of Memphis   
249,249,http://www.memphis.edu/gradschool/events/index.php, Events -       	Graduate School       	 - University of Memphis   
250,250,http://www.memphis.edu/gradschool/support.php,Support the Graduate School -       	Graduate School       	 - University of Memphis   
251,251,http://www.memphis.edu/gradschool/programs/abm.php,Accelerated Bachelors/Master's Degrees  -       	Graduate School       	 - University of Memphis   
252,252,http://www.memphis.edu/gradschool/future_students/index.php, Future Students -       	Graduate School       	 - University of Memphis   
253,253,http://www.memphis.edu/gradschool/contacts.php,Contact Us -       	Graduate School       	 - University of Memphis   
254,254,http://www.memphis.edu/law/admissions,
255,255,http://www.memphis.edu/bursar/fees/index.php,Fee Charts & Fee Payment -       	Bursar's Office      	 - University of Memphis   
256,256,http://www.memphis.edu/graduateadmissions/index.php,Graduate Admissions -       	Graduate Admissions      	 - University of Memphis   
257,257,http://www.memphis.edu/admissions/freshmen/app_rev.php,Application Review  -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
